nome;sku;descricao;quantidade;preco;categoria
AMOREPACIFIC;43419-513;Excision of Left Upper Arm Skin, External Approach, Diagnostic;79;1700.21;Horror|Thriller
Aqua Rush Serum;59535-7201;Bypass Right External Iliac Vein to Lower Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;19;536.49;Horror
GUNA-IL 4;17089-382;Replacement of Right Abdomen Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;20;5574.38;Adventure|Drama
Diltiazem Hydrochloride;49349-815;Dilation of Right Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach;8;1037.78;Comedy|Drama|Musical
Protonix;55154-4226;Bypass Coronary Artery, Four or More Arteries from Thoracic Artery, Percutaneous Endoscopic Approach;4;835.12;
ULTRA CORRECTION LIFT;68745-1134;Extirpation of Matter from Larynx, Via Natural or Artificial Opening;90;3754.43;Comedy|Drama
Ibuprofen;41163-392;Plain Radiography of Bilateral Submandibular Glands using Other Contrast;55;7561.12;Comedy|Thriller
IBANDRONATE SODIUM;47781-103;Bypass Right Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Open Approach;43;74.35;Drama|Romance
Extra Strength Pain Reliever PM;70253-556;Insertion of Other Device into Left Lower Arm, Percutaneous Endoscopic Approach;34;329.51;Comedy|Romance
Aquavit Etheric Energizer;48951-1066;Revision of Drainage Device in Bone Marrow, Percutaneous Endoscopic Approach;71;3045.59;Drama
Carbidopa and Levodopa;55154-0697;Repair Left Axillary Lymphatic, Percutaneous Approach;6;5946.99;Drama|Romance
CVS Phramacy Antibacterial;59779-232;Bypass Lower Esophagus to Duodenum with Synthetic Substitute, Open Approach;29;5924.48;Drama|Thriller
Neuraceq;54828-001;Occlusion of Urethra with Intraluminal Device, Open Approach;86;9206.7;Drama
Disney PRINCESS Antibacterial Hand Wipes;57469-057;Repair Left Hypogastric Vein, Percutaneous Approach;25;7428.0;Comedy|Documentary
Next Choice;52544-275;Extirpation of Matter from Left Hand Artery, Open Approach;73;9122.05;Comedy|Crime|Romance
Terbutaline Sulfate;68084-257;Extirpation of Matter from Coronary Artery, Three Arteries, Percutaneous Approach;63;8768.6;(no genres listed)
SOLIE TONER;51346-087;Bypass Thoracic Aorta, Descending to Carotid with Autologous Venous Tissue, Open Approach;88;907.91;Drama|Horror|Thriller
EQUATE;49035-177;Extirpation of Matter from Left Upper Eyelid, Open Approach;74;9901.83;Adventure|Drama
Sunmark calcium antacid;49348-958;Repair Olfactory Nerve, Percutaneous Approach;69;5890.51;Comedy|Crime|Romance
Vimovo;75987-031;Drainage of Lung Lingula with Drainage Device, Percutaneous Approach;10;360.46;Drama|Film-Noir|Mystery|Romance
HYDROCODONE BITARTRATE AND ACETAMINOPHEN;63629-4355;Drainage of Small Intestine, Via Natural or Artificial Opening Endoscopic;59;8122.91;Documentary
Colgate Optic White Dual Action Crystal Mint;65954-563;Revision of Infusion Device in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach;63;445.48;Drama
Jantoven;0832-1213;Change Brace on Left Lower Arm;95;92.7;Children|Comedy|Drama
Nite-TimeCOLD/FLU CHERRY;57243-502;Bypass Ileum to Descending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;5;5369.89;Comedy|Musical|Romance
Burr Oak;36987-2831;Revision of Spacer in Left Toe Phalangeal Joint, Open Approach;15;8328.55;Drama
FLORIA WHITENING EMULSION;59078-008;Gastrointestinal System, Excision;94;9493.33;Comedy|Drama
BOTANICAL VANILLA PACT;51346-012;Introduction of Analgesics, Hypnotics, Sedatives into Muscle, Percutaneous Approach;97;8510.29;Drama|Romance|War
American Elm;49288-0191;Beam Radiation of Rectum using Photons 1 - 10 MeV;7;9069.18;Documentary
Gabapentin;49349-967;Insertion of Intraluminal Device into Stomach, Percutaneous Endoscopic Approach;5;4526.09;Action|Sci-Fi
Anticavity;49035-163;Occlusion of Right Large Intestine, Percutaneous Endoscopic Approach;38;3223.81;Action|Comedy|Sci-Fi
SHISEIDO SHEER AND PERFECT FOUNDATION;58411-117;Destruction of Left Ankle Joint, Percutaneous Endoscopic Approach;15;8332.32;Drama
Metoclopramide;0603-4615;Extirpation of Matter from Left Hand Artery, Bifurcation, Percutaneous Approach;82;3629.95;Action|Comedy|Crime|Drama|Thriller
RUE21 Posh Antibacterial Hand Sanitizer;50563-144;Extirpation of Matter from Right Hepatic Duct, Open Approach;79;1460.54;Comedy|Drama|Romance
Lotensin;30698-449;Removal of Autologous Tissue Substitute from Right Shoulder Joint, Percutaneous Endoscopic Approach;52;8130.34;Drama
Avitears;49869-002;Removal of Extraluminal Device from Bladder, Percutaneous Approach;19;1539.94;Fantasy|Horror|Thriller
BROMUS INERMIS POLLEN;0268-1089;Transfer Olfactory Nerve to Trigeminal Nerve, Percutaneous Endoscopic Approach;91;1494.23;Horror
SCROPHULOUS HP;43406-0043;Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Open Approach;65;4039.75;Drama
Sleep Aid;30142-441;Introduction of Radioactive Substance into Peripheral Artery, Open Approach;37;8176.54;(no genres listed)
flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP16 Beige;61722-165;Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach;78;3174.19;Animation|Crime|Mystery|Sci-Fi|Thriller
Bio-Z-Cough;45737-251;Beam Radiation of Bile Ducts using Neutrons;29;9061.3;Horror
Lidocaine Hydrochloride;67457-506;Revision of Drainage Device in Left Ankle Joint, External Approach;56;5071.39;Comedy
Zepaseptic;66949-928;Reposition Left Parietal Bone, External Approach;26;1633.64;Comedy|Drama
Allerstat;44911-0111;Reattachment of Left Index Finger, Open Approach;29;3341.77;Drama
Adderall;0555-0768;Fluoroscopy of Left Jugular Veins using Other Contrast, Guidance;48;170.46;Crime|Western
Low Dose Chewable Aspirin;70253-218;Supplement Right Temporal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;44;3339.19;Crime|Documentary|Drama
Lamotrigine;51079-865;Dilation of Left Face Vein with Intraluminal Device, Percutaneous Approach;21;6163.22;Animation
Venlafaxine Hydrochloride;65862-697;Insertion of Intraluminal Device into Right Common Carotid Artery, Open Approach;81;4920.57;Drama
take cover anti-aging foundation;51389-116;Revision of Nonautologous Tissue Substitute in Left Sternoclavicular Joint, Percutaneous Approach;2;4579.1;Adventure|Drama|Sci-Fi
STOOL SOFTENER;49348-714;Reposition Right Patella with Internal Fixation Device, Percutaneous Endoscopic Approach;55;7591.64;Drama
DOCTOR HOYS Arnica Boost;10842-200;Dilation of Left Renal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach;58;572.59;Drama
Isopropyl alcohol;53441-275;Dilation of Right Subclavian Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach;95;4050.81;Action|Adventure|Drama|Fantasy|Horror|Romance|Sci-Fi
Oregon Ash;36987-2487;Resection of Hymen, Open Approach;59;5883.58;Documentary
DICYCLOMINE HYDROCHLORIDE;49349-082;Removal of Intraluminal Device from Lower Artery, Open Approach;25;4406.65;Documentary
MILK OF MAGNESIA CHERRY;63868-310;Extirpation of Matter from Left Lower Arm and Wrist Muscle, Open Approach;58;9167.57;Drama|Sci-Fi|Thriller
Jafra;68828-108;Supplement Right Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;35;9254.98;Drama|Mystery|Thriller
Citalopram;42254-066;Insertion of Monitoring Device into Urethra, Percutaneous Endoscopic Approach;66;215.74;(no genres listed)
phentermine hydrochloride;0185-0644;Revision of Monitoring Device in Heart, Percutaneous Approach;84;5735.07;Drama
Phenobarbital;0143-1445;Revision of Drainage Device in Vas Deferens, External Approach;68;2957.18;Comedy|Crime|Drama
Acetylcysteine;55154-5731;Repair Upper Back, Percutaneous Approach;18;4391.26;Comedy
Glucotrol;55289-125;Excision of Left Temporomandibular Joint, Open Approach;98;8348.88;Drama
Doxazosin;60505-0094;Revision of Drainage Device in Right Ear, Percutaneous Approach;83;3114.62;Adventure|Children|Fantasy
FIBRICOR;13310-102;Replacement of Ampulla of Vater with Synthetic Substitute, Percutaneous Endoscopic Approach;3;5105.96;Documentary|Drama
Warfarin Sodium;16590-340;Drainage of Right Renal Vein with Drainage Device, Percutaneous Approach;2;4475.73;Comedy|Drama|Romance
Prostigmin;0187-3100;Destruction of Left Upper Extremity Lymphatic, Percutaneous Approach;92;9450.57;Drama|Horror|Thriller
Sodium Chloride;63323-186;Bypass Abdominal Aorta to Right External Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach;28;4243.53;Action|Adventure|Thriller
Nuvel Hand Sanitizer;49897-066;Restriction of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic;7;4713.3;Adventure|Drama
Total Uranium;61657-0965;Revision of Synthetic Substitute in Upper Intestinal Tract, Percutaneous Endoscopic Approach;87;5649.61;Documentary
ANTIBACTERIAL HSOAP;59779-720;Removal of Radioactive Element from Vagina and Cul-de-sac, Percutaneous Approach;58;4957.04;Drama
REFRESH PLUS;0023-0403;Removal of Synthetic Substitute from Coccygeal Joint, Percutaneous Endoscopic Approach;15;8994.08;Sci-Fi|Thriller
Carvedilol;65841-619;Division of Left Hand Tendon, Percutaneous Endoscopic Approach;49;6431.01;Horror|Thriller
AMARANTHUS TUBERCULATUS POLLEN;0268-6794;Transfusion of Embryonic Stem Cells into Central Vein, Percutaneous Approach;96;3054.9;Crime|Horror|Thriller
Advanced Lightning;24623-042;Dilation of Left External Carotid Artery with Four or More Intraluminal Devices, Percutaneous Approach;58;9099.97;Comedy|Documentary
Sweet Gum;36987-3037;Removal of Synthetic Substitute from Lumbar Vertebral Disc, Percutaneous Approach;33;1660.53;Action|Animation|Horror
Sheep Sorrel;36987-3422;Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Open Approach;13;6678.04;Comedy|Drama|Fantasy
Irinotecan Hydrochloride;61703-349;Replacement of Right Tympanic Membrane with Synthetic Substitute, Open Approach;37;617.95;Horror
REPREXAIN;23710-900;Drainage of Left Shoulder Muscle, Percutaneous Approach, Diagnostic;59;5633.35;Drama|Western
Acetic Acid;0603-7038;Excision of Uterine Supporting Structure, Percutaneous Endoscopic Approach, Diagnostic;92;5925.35;Drama
Losartan potassium and Hydrochlorothiazide;33342-051;Extirpation of Matter from Oral Cavity and Throat, External Approach;68;510.11;Documentary
homeopathic HCG;57520-0161;Transfer Left Lower Leg Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach;90;9401.24;Drama
Treatment Set TS347628;49288-0884;Extirpation of Matter from Right Axillary Vein, Percutaneous Approach;91;1742.57;Comedy|Musical|Romance
Fluconazole;55289-824;Extirpation of Matter from Right Ankle Joint, Percutaneous Approach;60;9426.42;Action
ALNUS INCANA SSP RUGOSA POLLEN;0268-6601;Restriction of Right Axillary Artery, Open Approach;62;8567.96;Drama|Romance|War
Levocarnitine;0517-1045;Repair Small Intestine, Percutaneous Endoscopic Approach;90;1820.5;Comedy|Drama
Smart Sense Allergy and Congestion Relief-D;49738-375;Low Dose Rate (LDR) Brachytherapy of Pleura using Other Isotope;34;7200.11;Adventure|Comedy|Sci-Fi|Thriller|War
Alprazolam;68084-672;Drainage of Right Upper Extremity, Percutaneous Endoscopic Approach;22;9739.41;Drama|Romance
Hyperactivity - Mental Focus;55714-2316;Supplement Cecum with Nonautologous Tissue Substitute, Open Approach;25;8630.93;Action|Adventure|Fantasy
Tinactin;11523-0777;Upper Arteries, Revision;61;4871.69;Animation|Children
Kids Cough and Fever Relief;59262-259;Excision of Left External Carotid Artery, Percutaneous Approach;18;7448.3;Comedy|Musical|Romance
Laxacin;50488-0901;Supplement Left Hand with Autologous Tissue Substitute, Open Approach;42;6089.42;Comedy|Drama
Bortons Ethyl Rubbing Alcohol;50790-100;Control Bleeding in Cranial Cavity, Percutaneous Endoscopic Approach;10;6896.34;Adventure|Comedy|Documentary|Mystery
Dexamethsone;51655-012;Excision of Spleen, Open Approach;85;7941.31;Drama
OC Eight;42485-003;Destruction of Common Bile Duct, Percutaneous Endoscopic Approach;4;3677.67;Comedy|Drama|Romance
Regular Strength Pain Reliever;0363-0104;Fusion of Left Tarsal Joint with Synthetic Substitute, Percutaneous Endoscopic Approach;41;4664.14;Action|Drama|Romance|Western
Cilostazol;60429-363;Extirpation of Matter from Thoracic Sympathetic Nerve, Percutaneous Approach;64;7411.09;Drama|War
CitraNatal Rx;0178-0859;Planar Nuclear Medicine Imaging of Chest and Neck using Gallium 67 (Ga-67);9;9310.16;Action|Comedy|Crime
AVANDAMET;0173-0840;Plain Radiography of Bilateral Abdominal/Retroperitoneal Lymphatics using Low Osmolar Contrast;84;7171.2;Action|Horror|Sci-Fi|Thriller
Sunmark Hydrocortisone with Aloe;49348-521;Replacement of Right Shoulder Joint with Synthetic Substitute, Glenoid Surface, Open Approach;58;4549.51;Action|Comedy|Crime|Drama
Flagyl;0025-1942;Supplement Left Renal Vein with Synthetic Substitute, Percutaneous Approach;56;1427.55;Action|Adventure|Comedy|Fantasy
BAMBOO SALT Eunganggo Jook Yeom Toothpaste;53208-459;Supplement Left Breast with Autologous Tissue Substitute, External Approach;16;9108.84;
equaline antacid;41163-179;Replacement of Right Temporal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;13;2367.71;Horror
pravastatin sodium;61786-046;Fusion of Lumbosacral Joint with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach;28;1632.35;Horror|Mystery|Thriller
Best Health Sore Throat Relief Cherry Flavor;52642-010;Occlusion of Right Internal Jugular Vein, Percutaneous Approach;97;226.06;Drama|Horror|Mystery
Infection Complex;52731-7032;Drainage of Right Ankle Region with Drainage Device, Percutaneous Approach;65;5503.5;Drama
MELOXICAM;16590-434;Reattachment of Head and Neck Bursa and Ligament, Open Approach;97;9934.85;Action|Adventure
Epinephrine;43742-0186;Excision of Thoracic Nerve, Percutaneous Endoscopic Approach;65;217.92;Drama
H Acne Formula;57520-1111;Release Pharynx, Via Natural or Artificial Opening Endoscopic;99;6407.82;Adventure|Drama|Thriller
Acebutolol Hydrochloride;42291-102;Release Left Knee Joint, Percutaneous Endoscopic Approach;59;8035.29;Comedy|Romance
Intense Care Snail Skin;59078-010;Bypass Sigmoid Colon to Rectum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;80;8426.34;Comedy
Antibacterial Foaming Hand Cleanser;50988-175;Reposition Right Radius with External Fixation Device, Percutaneous Approach;61;5890.12;Drama|Fantasy|Romance
HOUSE DUST;0268-0010;Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Open Approach;69;1212.09;Crime|Drama|Thriller
Aspirin;68151-2904;Excision of Right Pleura, Percutaneous Approach, Diagnostic;51;8372.61;Action|War
Meperidine Hydrochloride;0603-4416;Occlusion of Cecum with Extraluminal Device, Open Approach;60;1348.5;Crime|Drama|Film-Noir|Romance|Thriller
Neosporin Plus Pain Relief Neo To Go First Aid Antiseptic Pain Relieving;58232-0711;Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach;73;2420.53;Comedy
CEFACLOR;43063-194;Repair Endocrine System in Products of Conception, Via Natural or Artificial Opening;78;5139.17;Comedy
Guanfacine;0591-0453;Insertion of Other Device into Right Lower Leg, Open Approach;30;7046.79;Action|Mystery
Diamox Sequels;52125-070;Supplement Left Ankle Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;64;8835.24;Adventure
Aspirin;62011-0003;Dilation of Right Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach;71;9112.16;Action|Drama
CASUARINA EQUISETIFOLIA POLLEN;0268-1378;Removal of External Fixation Device from Right Metacarpocarpal Joint, Percutaneous Approach;46;7697.34;Drama|Romance|Thriller
SODIUM SULFACETAMIDE;44523-613;Excision of Left Trunk Muscle, Percutaneous Endoscopic Approach;69;413.83;Drama
Kleenex Antiseptic Skin Cleanser;55118-571;Extirpation of Matter from Right Trunk Bursa and Ligament, Percutaneous Endoscopic Approach;39;3130.74;Drama|Romance
Paroxetine Hydrochloride;49349-255;Transfer Right Lower Arm and Wrist Muscle with Skin and Subcutaneous Tissue, Open Approach;47;7558.72;Documentary
DG Health nasal decongestant pe;55910-094;Ultrasonography of Left Jugular Veins;60;4772.59;Drama
Acetaminophen;55315-333;Drainage of Left Tympanic Membrane, Via Natural or Artificial Opening Endoscopic;13;7617.99;Animation|Horror|IMAX
METOPROLOL SUCCINATE;60760-977;Extirpation of Matter from Thoracic Aorta, Descending, Open Approach;61;5281.52;Comedy|Fantasy
Ringers;0338-0105;Occlusion of Mesenteric Lymphatic, Open Approach;14;8529.43;Comedy|Drama
Super Hero;49291-0003;Revision of Infusion Device in Left Knee Joint, Open Approach;74;5495.03;Comedy|Drama
Anti-Bacterial Hand Sanitizer;62670-4780;Immobilization of Right Lower Arm using Cast;59;8211.24;Drama|Romance
Acne;57520-0710;Insertion of Internal Fixation Device into Left Tibia, Percutaneous Endoscopic Approach;68;8687.77;Horror|Thriller
ShopRite Ibuprophen;41190-647;Removal of Autologous Tissue Substitute from Right Lower Extremity, Percutaneous Approach;61;830.86;Comedy|Drama|Romance
MECLIZINE HYDROCHLORIDE;54868-0089;Extirpation of Matter from Right Greater Saphenous Vein, Open Approach;4;666.76;Action|Comedy|Horror
Losartan Potassium;58118-7366;Destruction of Right Sacroiliac Joint, Percutaneous Approach;70;44.92;Drama
Cockroach American;36987-1801;Excision of Dura Mater, Percutaneous Endoscopic Approach;18;2882.31;Action|Fantasy
CHANTECAILLE PROTECTION NATURELLE BRONZE SPF 46;42893-030;Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach;71;3645.71;Action|Drama
Acetaminophen, Guaifenesin, Phenylephrine Hydrochloride;57344-119;Release Thoracic Sympathetic Nerve, Percutaneous Approach;24;4850.77;Sci-Fi|Thriller
Hemorrhoid Control;51393-6446;Introduction of Radioactive Substance into Male Reproductive, Via Natural or Artificial Opening Endoscopic;66;6898.95;Action|Crime|Thriller
Levofloxacin;43063-457;Removal of Radioactive Element from Neck, Percutaneous Endoscopic Approach;71;421.57;Horror|Thriller
Warfarin Sodium;51672-4034;Replacement of Left Choroid with Synthetic Substitute, Open Approach;95;8647.82;Action|Drama|Romance|War
Olanzapine;55154-5877;Reposition Right Tympanic Membrane, Open Approach;93;6042.77;Horror
MUSCLE SORENESS HEADACHE;64117-277;Supplement of Left Upper Arm Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach;72;9228.66;Comedy|Drama
Topiramate;59115-127;Plain Radiography of Left Clavicle;67;5206.83;Comedy|Romance
Queen Perfume Hair Conditioner;60344-6001;Alteration of Left Wrist Region, Open Approach;70;6125.56;Drama
telmisartan and hydrochlorothiazide;0054-0547;Fluoroscopy of Left Subclavian Vein;5;6349.19;Comedy|Romance
cyclobenzaprine hydrochloride;53808-1039;Revision of Autologous Tissue Substitute in Right Rib, Percutaneous Approach;44;462.54;Animation|Children|Comedy|Musical
Lexapro;0456-2010;Plain Radiography of Kidneys, Ureters and Bladder using Other Contrast;12;8406.52;Drama
Ampicillin;0781-3408;Reposition Lower Tooth with External Fixation Device, All, Open Approach;54;6864.72;Action|Horror|Sci-Fi|Thriller
PENICILLIN G POTASSIUM;0338-1021;Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach;6;2072.67;Drama|Romance
Ortho Cept;50458-196;Occlusion of Left Anterior Tibial Artery, Percutaneous Approach;52;7918.89;Children|Comedy
Amlodipine Besylate;0378-5208;Revision of Drainage Device in Right Toe Phalangeal Joint, Open Approach;41;3984.26;Animation|Children
Pamidronate Disodium;63323-734;Insertion of Monoplanar External Fixation Device into Right Tibia, Open Approach;4;4088.96;Action|Drama
H-Jock Itch Formula;61077-088;Dilation of Left Axillary Vein with Intraluminal Device, Percutaneous Endoscopic Approach;51;2400.56;Documentary
Valacyclovir Hydrochloride;51655-955;Bypass Jejunum to Descending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;1;4544.77;Drama|Thriller
SHISEIDO THE SKINCARE TINTED MOISTURE PROTECTION;52686-260;Restriction of Lower Esophagus with Extraluminal Device, Percutaneous Approach;8;7265.23;Documentary
SPARTAN LITE N FOAMY E2 HAND WASH AND SANITIZER;64009-511;Voice Prosthetic Device Fitting using Speech Prosthesis;42;3312.38;Drama
Carvedilol;76237-133;Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening;72;2585.23;Drama
Zhuang Gu She Xiang Zhi Tong Gao;42217-203;Reposition Right Upper Leg Tendon, Open Approach;76;8916.77;Crime|Film-Noir|Mystery|Thriller
Diltiazem Hydrochloride;55289-853;Reposition Right Ankle Joint, Percutaneous Endoscopic Approach;88;1545.86;Comedy|Drama
Ceramide Lift and Firm Makeup Broad Spectrum Sunscreen SPF 15 Spice;67938-0951;Integumentary Integrity Assessment of Musculoskeletal System - Upper Back / Upper Extremity;84;1236.29;Drama
Kids Allergy Eye Relief;59262-361;Supplement Left Basilic Vein with Nonautologous Tissue Substitute, Open Approach;99;7290.87;Drama|Romance|War
LBEL;13537-496;Bypass Right Foot Vein to Lower Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach;5;6630.74;Horror|Thriller
Oxygen;62914-1000;Drainage of Right Knee Bursa and Ligament, Open Approach;81;7979.71;Comedy
bioCorneum plus SPF 30 advanced SCAR SUPERVISION;43474-001;Ultrasonography of Right Heart, Intravascular;1;5927.84;Adventure|Animation|Children|Comedy
Lamotrigine;51672-4139;Repair Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach;41;6327.92;(no genres listed)
CLONIDINE HYDROCHLORIDE;51138-019;Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach;44;8164.04;Drama|Fantasy|Romance
Pepto-Bismol;37000-018;Bypass Right Atrium to Pulmonary Trunk, Open Approach;20;6977.18;Horror
Red Mulberry;36987-2808;Division of Left Radius, Percutaneous Approach;99;9179.94;Thriller
AHC Hydration Special Gen Serum;58930-030;Computerized Tomography (CT Scan) of Right Humerus using Other Contrast;21;2836.49;Horror|Thriller
good neighbor pharmacy cough and sore throat;24385-135;Resection of Right Carotid Body, Open Approach;7;7627.52;Crime|Drama
SHISEIDO WHITE LUCENT BRIGHTENING SPOT-CONTROL FOUNDATION (REFILL);52686-256;Removal of Synthetic Substitute from Left Metatarsal-Tarsal Joint, Percutaneous Approach;73;3311.39;Comedy|Drama
Didanosine;0555-0588;Restriction of Intracranial Artery with Extraluminal Device, Percutaneous Endoscopic Approach;74;8395.18;Horror
Nicotine Polacrilex;49226-206;Beam Radiation of Stomach using Photons >10 MeV;67;9270.98;Drama|Thriller
Salt Grass;36987-2397;Magnetic Resonance Imaging (MRI) of Left Eye using Other Contrast, Unenhanced and Enhanced;70;9573.16;Children|Comedy|Musical
Fluvoxamine Maleate;0228-2848;Performance of Urinary Filtration, Single;94;3106.44;Action|Horror|Mystery|Thriller
Hay Fever;59667-0032;Bypass Right Axillary Artery to Lower Arm Vein with Synthetic Substitute, Open Approach;5;7501.71;
FENTORA;63459-542;Drainage of Right Femoral Shaft, Open Approach;66;949.36;
LANEIGE Snow BB No.1 Brightening BB;43419-730;Replacement of Bladder Neck with Synthetic Substitute, Via Natural or Artificial Opening;85;4869.99;Drama|Romance|Western
Fluconazole;68788-9926;Removal of Monitoring Device from Upper Artery, Percutaneous Approach;73;6148.43;Documentary
No7 Stay Perfect Foundation Compact Sunscreen SPF 15 New Ivory;68472-050;Division of Right Neck Muscle, Open Approach;30;6669.55;Comedy|Drama|Romance
Glycopyrrolate;0641-6035;Extraction of Lumbosacral Plexus, Percutaneous Endoscopic Approach;33;476.52;Drama|Fantasy|Horror|Mystery
NITROUS OXIDE;42411-041;Extirpation of Matter from Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach;14;87.94;Horror|Sci-Fi|Thriller
Barriere;65197-426;Extirpation of Matter from Left Palatine Bone, Percutaneous Approach;18;6995.24;Documentary
Tamsulosin Hydrochloride;49349-401;Drainage of Right Upper Extremity Bursa and Ligament with Drainage Device, Open Approach;10;953.0;Comedy|Musical
SUPER AQUA MAX WHITE C WATERFUL TONER;51346-127;Excision of Coccyx, Open Approach, Diagnostic;67;9673.89;Romance|Western
Hand Cleanse;58503-009;Release Penis, Percutaneous Endoscopic Approach;66;1754.13;Horror|Thriller
Thiothixene;0378-5010;Release Left Hip Bursa and Ligament, External Approach;32;3618.83;Drama
Ampicillin and Sulbactam;0641-6117;Removal of External Fixation Device from Right Metatarsal-Tarsal Joint, Open Approach;19;1675.5;Documentary
Midazolam HCl;52533-001;Reposition Right Zygomatic Bone, Percutaneous Endoscopic Approach;17;1101.04;Comedy|Drama
Clonazepam;0228-3003;Alteration of Right Lower Arm with Autologous Tissue Substitute, Percutaneous Approach;55;4017.93;Horror|Thriller
NARS FOUNDATION;13734-116;Change Brace on Right Finger;62;4979.78;Documentary
999 ITCH RELIEF;12753-930;Inspection of Omentum, Open Approach;96;2087.4;Drama
Dog Epithelium;36987-1011;Removal of Traction Apparatus on Right Upper Arm;21;5035.06;Drama|Horror|Mystery|Thriller|War
Gas Relief;55319-242;Occlusion of Innominate Artery, Percutaneous Endoscopic Approach;37;6844.86;Action|Adventure|Comedy
